name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,TMC
,0,9,226,,,139.28581994237857,1,nan,-1.60934,1,,"LINESTRING (-111.93039 33.42312,-111.93038 33.42318,-111.93036 33.42322,-111.93035 33.42329,-111.93027 33.42368,-111.93026 33.42375,-111.93025 33.42379,-111.93021 33.42385,-111.93019 33.42387,-111.93014 33.4239,-111.9301 33.42392,-111.92967 33.42407)",
,1,226,9,,,146.1014782357942,1,nan,-1.60934,1,,"LINESTRING (-111.9297 33.42413,-111.93013 33.42398,-111.93018 33.42396,-111.93024 33.42392,-111.93027 33.42388,-111.93032 33.42382,-111.93033 33.42376,-111.93035 33.42369,-111.93043 33.4233,-111.93044 33.42323,-111.93045 33.42319,-111.93046 33.42313)",
,2,158,254,,,110.43656781989174,1,nan,40.2335,1,,"LINESTRING (-111.94127 33.42431,-111.94071 33.42431,-111.94008 33.42431)",
,3,254,158,,,110.4353005058131,1,nan,40.2335,1,,"LINESTRING (-111.94008 33.42438,-111.94071 33.42437,-111.94127 33.42437)",
,4,13,86,,,156.9785138718356,1,nan,40.2335,1,,"LINESTRING (-111.93667 33.42433,-111.93656 33.42433,-111.93623 33.42433,-111.93586 33.42433,-111.93551 33.42433,-111.9354 33.42431,-111.93531 33.4243,-111.9351 33.42431,-111.93498 33.4243)",
,5,86,13,,,157.1777655656064,1,nan,40.2335,1,,"LINESTRING (-111.93498 33.42437,-111.9351 33.42437,-111.93531 33.42436,-111.93539 33.42437,-111.9355 33.4244,-111.93586 33.4244,-111.93623 33.42439,-111.93656 33.42439,-111.93667 33.42439)",
,6,14,238,,,156.12155821469148,1,nan,-1.60934,1,,"LINESTRING (-111.9413 33.42193,-111.94128 33.42132,-111.94128 33.42129,-111.94128 33.42123,-111.94128 33.4212,-111.94127 33.42057,-111.94127 33.42052)",
,7,238,14,,,156.1845839434516,1,nan,-1.60934,1,,"LINESTRING (-111.94119 33.42052,-111.94119 33.42057,-111.9412 33.4212,-111.9412 33.42123,-111.9412 33.42129,-111.94121 33.42133,-111.94122 33.42193)",
,8,20,21,,,335.9811233617786,1,nan,-1.60934,1,,"LINESTRING (-111.93013 33.41041,-111.9297 33.41041,-111.92651 33.41043)",
,9,21,20,,,335.9808328996686,1,nan,-1.60934,1,,"LINESTRING (-111.92651 33.41049,-111.9297 33.41048,-111.93013 33.41048)",
,10,217,22,,,91.20251855207565,1,nan,-1.60934,1,,"LINESTRING (-111.92423 33.41188,-111.9238 33.41187,-111.92367 33.41187,-111.92325 33.41186)",
,11,22,217,,,91.2030537037662,1,nan,-1.60934,1,,"LINESTRING (-111.92325 33.41192,-111.92367 33.41193,-111.9238 33.41193,-111.92423 33.41194)",
,12,23,24,,,126.4456229363941,1,nan,-1.60934,1,,"LINESTRING (-111.9423 33.41362,-111.94231 33.41426,-111.94232 33.41448,-111.94234 33.41465,-111.94235 33.4147,-111.94239 33.41474)",
,13,24,23,,,122.62678303153744,1,nan,-1.60934,1,,"LINESTRING (-111.94245 33.41471,-111.94242 33.41467,-111.94241 33.41464,-111.9424 33.41447,-111.94239 33.41426,-111.94238 33.41361)",
,14,24,25,,,161.20624818895047,1,nan,-1.60934,1,,"LINESTRING (-111.94238 33.41474,-111.9424 33.41478,-111.94241 33.41483,-111.94241 33.41573,-111.94241 33.41579,-111.94241 33.41598,-111.94241 33.41601,-111.94242 33.41616,-111.94242 33.41619)",
,15,25,24,,,163.75984856907297,1,nan,-1.60934,1,,"LINESTRING (-111.94249 33.41619,-111.94249 33.41616,-111.94249 33.41601,-111.94249 33.41598,-111.94249 33.41579,-111.94249 33.41573,-111.94248 33.41482,-111.94248 33.41476,-111.94245 33.41472)",
,16,25,26,,,158.3378518085123,1,nan,-1.60934,1,,"LINESTRING (-111.94242 33.41619,-111.94241 33.4169,-111.94241 33.41701,-111.94241 33.41762)",
,17,26,25,,,158.28028659124806,1,nan,-1.60934,1,,"LINESTRING (-111.94249 33.41762,-111.94249 33.41701,-111.94249 33.4169,-111.94249 33.41619)",
,18,26,27,,,157.84311365530567,1,nan,-1.60934,1,,"LINESTRING (-111.94241 33.41762,-111.94241 33.4177,-111.94241 33.41832,-111.94242 33.4184,-111.94242 33.41894,-111.94241 33.41897,-111.9424 33.419,-111.94236 33.41903)",
,19,27,26,,,162.52975645110587,1,nan,-1.60934,1,,"LINESTRING (-111.94242 33.41907,-111.94246 33.41903,-111.94248 33.41899,-111.9425 33.41894,-111.94249 33.4184,-111.94249 33.41832,-111.94249 33.4177,-111.94249 33.41762)",
,20,27,239,,,155.72813020393906,1,nan,-1.60934,1,,"LINESTRING (-111.94236 33.41903,-111.94233 33.41908,-111.94232 33.41913,-111.94233 33.41961,-111.94233 33.41973,-111.94234 33.42043)",
,21,239,27,,,152.27575844850728,1,nan,-1.60934,1,,"LINESTRING (-111.94241 33.42043,-111.94241 33.41973,-111.9424 33.41961,-111.9424 33.41914,-111.9424 33.4191,-111.94243 33.41906)",
