zone_id,name,geometry
1,A2 - 161,"POLYGON ((-111.945007 33.427002, -111.944008 33.427002, -111.944008 33.426003, -111.945007 33.426003, -111.945007 33.427002))"
2,A3 - 1,"POLYGON ((-111.945007 33.426003, -111.944008 33.426003, -111.944008 33.425003, -111.945007 33.425003, -111.945007 33.426003))"
6,A7 - 2,"POLYGON ((-111.945007 33.422001, -111.944008 33.422001, -111.944008 33.421001, -111.945007 33.421001, -111.945007 33.422001))"
7,A8 - 3,"POLYGON ((-111.945007 33.421001, -111.944008 33.421001, -111.944008 33.420002, -111.945007 33.420002, -111.945007 33.421001))"
9,A10 - 4,"POLYGON ((-111.945007 33.419003, -111.944008 33.419003, -111.944008 33.418003, -111.945007 33.418003, -111.945007 33.419003))"
13,A14 - 5,"POLYGON ((-111.945007 33.415001, -111.944008 33.415001, -111.944008 33.414001, -111.945007 33.414001, -111.945007 33.415001))"
16,A17 - 7,"POLYGON ((-111.945007 33.412003, -111.944008 33.412003, -111.944008 33.411003, -111.945007 33.411003, -111.945007 33.412003))"
18,A19 - 8,"POLYGON ((-111.945007 33.410000, -111.944008 33.410000, -111.944008 33.409000, -111.945007 33.409000, -111.945007 33.410000))"
1002,B3 - 30,"POLYGON ((-111.944008 33.426003, -111.943008 33.426003, -111.943008 33.425003, -111.944008 33.425003, -111.944008 33.426003))"
1003,B4 - 206,"POLYGON ((-111.944008 33.425003, -111.943008 33.425003, -111.943008 33.424000, -111.944008 33.424000, -111.944008 33.425003))"
1016,B17 - 94,"POLYGON ((-111.944008 33.412003, -111.943008 33.412003, -111.943008 33.411003, -111.944008 33.411003, -111.944008 33.412003))"
2000,C1 - 31,"POLYGON ((-111.943008 33.428001, -111.942009 33.428001, -111.942009 33.427002, -111.943008 33.427002, -111.943008 33.428001))"
2006,C7 - 29,"POLYGON ((-111.943008 33.422001, -111.942009 33.422001, -111.942009 33.421001, -111.943008 33.421001, -111.943008 33.422001))"
2007,C8 - 28,"POLYGON ((-111.943008 33.421001, -111.942009 33.421001, -111.942009 33.420002, -111.943008 33.420002, -111.943008 33.421001))"
2008,C9 - 27,"POLYGON ((-111.943008 33.420002, -111.942009 33.420002, -111.942009 33.419003, -111.943008 33.419003, -111.943008 33.420002))"
2010,C11 - 26,"POLYGON ((-111.943008 33.418003, -111.942009 33.418003, -111.942009 33.417000, -111.943008 33.417000, -111.943008 33.418003))"
2011,C12 - 25,"POLYGON ((-111.943008 33.417000, -111.942009 33.417000, -111.942009 33.416000, -111.943008 33.416000, -111.943008 33.417000))"
2013,C14 - 24,"POLYGON ((-111.943008 33.415001, -111.942009 33.415001, -111.942009 33.414001, -111.943008 33.414001, -111.943008 33.415001))"
2014,C15 - 23,"POLYGON ((-111.943008 33.414001, -111.942009 33.414001, -111.942009 33.413002, -111.943008 33.413002, -111.943008 33.414001))"
3001,D2 - 156,"POLYGON ((-111.942009 33.427002, -111.941002 33.427002, -111.941002 33.426003, -111.942009 33.426003, -111.942009 33.427002))"
3002,D3 - 157,"POLYGON ((-111.942009 33.426003, -111.941002 33.426003, -111.941002 33.425003, -111.942009 33.425003, -111.942009 33.426003))"
3003,D4 - 158,"POLYGON ((-111.942009 33.425003, -111.941002 33.425003, -111.941002 33.424000, -111.942009 33.424000, -111.942009 33.425003))"
3004,D5 - 198,"POLYGON ((-111.942009 33.424000, -111.941002 33.424000, -111.941002 33.423000, -111.942009 33.423000, -111.942009 33.424000))"
3006,D7 - 14,"POLYGON ((-111.942009 33.422001, -111.941002 33.422001, -111.941002 33.421001, -111.942009 33.421001, -111.942009 33.422001))"
3007,D8 - 235,"POLYGON ((-111.942009 33.421001, -111.941002 33.421001, -111.941002 33.420002, -111.942009 33.420002, -111.942009 33.421001))"
3008,D9 - 15,"POLYGON ((-111.942009 33.420002, -111.941002 33.420002, -111.941002 33.419003, -111.942009 33.419003, -111.942009 33.420002))"
3010,D11 - 16,"POLYGON ((-111.942009 33.418003, -111.941002 33.418003, -111.941002 33.417000, -111.942009 33.417000, -111.942009 33.418003))"
3011,D12 - 17,"POLYGON ((-111.942009 33.417000, -111.941002 33.417000, -111.941002 33.416000, -111.942009 33.416000, -111.942009 33.417000))"
3013,D14 - 18,"POLYGON ((-111.942009 33.415001, -111.941002 33.415001, -111.941002 33.414001, -111.942009 33.414001, -111.942009 33.415001))"
4000,E1 - 186,"POLYGON ((-111.941002 33.428001, -111.940002 33.428001, -111.940002 33.427002, -111.941002 33.427002, -111.941002 33.428001))"
4001,E2 - 240,"POLYGON ((-111.941002 33.427002, -111.940002 33.427002, -111.940002 33.426003, -111.941002 33.426003, -111.941002 33.427002))"
4002,E3 - 253,"POLYGON ((-111.941002 33.426003, -111.940002 33.426003, -111.940002 33.425003, -111.941002 33.425003, -111.941002 33.426003))"
4003,E4 - 254,"POLYGON ((-111.941002 33.425003, -111.940002 33.425003, -111.940002 33.424000, -111.941002 33.424000, -111.941002 33.425003))"
4004,E5 - 252,"POLYGON ((-111.941002 33.424000, -111.940002 33.424000, -111.940002 33.423000, -111.941002 33.423000, -111.941002 33.424000))"
4010,E11 - 56,"POLYGON ((-111.941002 33.418003, -111.940002 33.418003, -111.940002 33.417000, -111.941002 33.417000, -111.941002 33.418003))"
4013,E14 - 126,"POLYGON ((-111.941002 33.415001, -111.940002 33.415001, -111.940002 33.414001, -111.941002 33.414001, -111.941002 33.415001))"
