link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,original_link_id,main_node_id,movement_str,TMC
0,900,22600,,,123.28581994238029,1,nan,-1.60934,1,,"LINESTRING (-111.93037 33.42319,-111.93036 33.42322,-111.93035 33.42329,-111.93027 33.42368,-111.93026 33.42375,-111.93025 33.42379,-111.93021 33.42385,-111.93019 33.42387,-111.93014 33.4239,-111.9301 33.42392,-111.92975 33.42404)",0,,,
1,22601,901,,,130.10147823586982,1,nan,-1.60934,1,,"LINESTRING (-111.92978 33.4241,-111.93013 33.42398,-111.93018 33.42396,-111.93024 33.42392,-111.93027 33.42388,-111.93032 33.42382,-111.93033 33.42376,-111.93035 33.42369,-111.93043 33.4233,-111.93044 33.42323,-111.93045 33.4232)",1,,,
2,15800,25400,,,94.43656781988099,1,nan,40.2335,1,,"LINESTRING (-111.94118 33.42431,-111.94071 33.42431,-111.94016 33.42431)",2,,,
3,25401,15801,,,94.43530050580067,1,nan,40.2335,1,,"LINESTRING (-111.94016 33.42437,-111.94071 33.42437,-111.94118 33.42437)",3,,,
4,1300,8600,,,140.97851387185216,1,nan,40.2335,1,,"LINESTRING (-111.93658 33.42433,-111.93656 33.42433,-111.93623 33.42433,-111.93586 33.42433,-111.93551 33.42433,-111.9354 33.42431,-111.93531 33.4243,-111.9351 33.42431,-111.93507 33.4243)",4,,,
5,8601,1301,,,141.17776556562904,1,nan,40.2335,1,,"LINESTRING (-111.93507 33.42437,-111.9351 33.42437,-111.93531 33.42436,-111.93539 33.42437,-111.9355 33.4244,-111.93586 33.4244,-111.93623 33.42439,-111.93656 33.42439,-111.93658 33.42439)",5,,,
6,1400,23800,,,140.12155821458379,1,nan,-1.60934,1,,"LINESTRING (-111.9413 33.42186,-111.94128 33.42132,-111.94128 33.42129,-111.94128 33.42123,-111.94128 33.4212,-111.94127 33.42059)",6,,,
7,23801,1401,,,140.18458394346146,1,nan,-1.60934,1,,"LINESTRING (-111.94119 33.42059,-111.9412 33.4212,-111.9412 33.42123,-111.9412 33.42129,-111.94121 33.42133,-111.94122 33.42186)",7,,,
8,2000,2100,,,327.8811233617582,1,nan,-1.60934,1,,"LINESTRING (-111.93004 33.41041,-111.9297 33.41041,-111.92651 33.41043)",8,,,
9,2101,2001,,,327.88083289965425,1,nan,-1.60934,1,,"LINESTRING (-111.92651 33.41049,-111.9297 33.41048,-111.93004 33.41048)",9,,,
