Agent Selection Mode,--,Network-wide,--
Category,All Agents/Agents,Number of Agents,25000.00
Category,All Agents/Agents,Cumulative Number of Agents,25000.00
Category,All Agents/Agents,Total Travel Distance ,53457.68
Category,All Agents/Agents,Avg Travel Distance , 2.14
Category,All Agents/Agents,Avg Speed (distance/hour),534576.81
Category,All Agents/Agents,Avg Travel Time STD (min),26.13
Category,All Agents/Agents,95th Percentile Travel Time (min),36.93
Category,All Agents/Agents,90th Percentile Travel Time (min), 0.04
Category,All Agents/Agents,80th Percentile Travel Time (min), 0.01
Category,All Agents/Agents,Planning Time Index: 95th percentile/FFTT, 8.76
Category,All Agents/Agents,Buffer Index: (95th percentile - mean)/mean,4513.88
Category,All Agents/Agents,Travel Time Per Distance Unit STD,26.37
Category,All Agents/Agents,95th Percentile Travel Time Per Distance Unit,20.55
Category,All Agents/Agents,90th Percentile Travel Time Per Distance Unit, 0.06
Category,Agent Type,Number of Agents,25000.00
Category,Agent Type,Cumulative Number of Agents,25000.00
Category,Agent Type,Total Travel Distance ,53457.68
Category,Agent Type,Avg Travel Distance , 2.14
Category,Agent Type,Avg Speed (distance/hour),534576.81
Category,Agent Type,Avg Travel Time STD (min),26.13
Category,Agent Type,95th Percentile Travel Time (min),36.93
Category,Agent Type,90th Percentile Travel Time (min), 0.04
Category,Agent Type,80th Percentile Travel Time (min), 0.01
Category,Agent Type,Planning Time Index: 95th percentile/FFTT, 8.76
Category,Agent Type,Buffer Index: (95th percentile - mean)/mean,4513.88
Category,Agent Type,Travel Time Per Distance Unit STD,26.37
Category,Agent Type,95th Percentile Travel Time Per Distance Unit,20.55
Category,Agent Type,90th Percentile Travel Time Per Distance Unit, 0.06
Category,5-min Departure Time Interval,Number of Agents,
,,20:45_21:00,14203.00
,,21:00_21:15,1334.00
,,21:15_21:30,1129.00
,,22:45_23:00,2778.00
,,23:15_23:30,5556.00
Category,5-min Departure Time Interval,Cumulative Number of Agents,
,,20:45_21:00,14203.00
,,21:00_21:15,15537.00
,,21:15_21:30,16666.00
,,22:45_23:00,19444.00
,,23:15_23:30,25000.00
Category,5-min Departure Time Interval,Total Travel Time (min),
,,20:45_21:00,15.54
,,21:00_21:15,10711.27
,,21:15_21:30,27522.14
Category,5-min Departure Time Interval,Total Travel Distance ,
,,20:45_21:00,30500.11
,,21:00_21:15,2916.62
,,21:15_21:30,2344.27
,,22:45_23:00,6246.02
,,23:15_23:30,11447.69
Category,5-min Departure Time Interval,Avg Travel Time (min),
,,21:00_21:15, 8.03
,,21:15_21:30,24.38
Category,5-min Departure Time Interval,Avg Travel Distance ,
,,20:45_21:00, 2.15
,,21:00_21:15, 2.19
,,21:15_21:30, 2.08
,,22:45_23:00, 2.25
,,23:15_23:30, 2.06
Category,5-min Departure Time Interval,Avg Speed (distance/hour),
,,20:45_21:00,117782.01
,,21:00_21:15,16.34
,,21:15_21:30, 5.11
,,22:45_23:00,62460.21
,,23:15_23:30,114476.87
Category,5-min Departure Time Interval,Avg Travel Time Per distance (min/distance),
,,21:00_21:15, 3.21
,,21:15_21:30,18.31
Category,5-min Departure Time Interval,Travel Time Index: mean/FFTT,
,,21:00_21:15, 1.94
,,21:15_21:30, 5.62
Category,5-min Departure Time Interval,Avg Travel Time STD (min),
,,20:45_21:00, 0.01
,,21:00_21:15,15.54
,,21:15_21:30,21.87
,,22:45_23:00,13.61
,,23:15_23:30,41.25
Category,5-min Departure Time Interval,95th Percentile Travel Time (min),
,,20:45_21:00, 0.02
,,21:00_21:15,45.12
,,21:15_21:30,60.65
,,23:15_23:30,77.84
Category,5-min Departure Time Interval,90th Percentile Travel Time (min),
,,20:45_21:00, 0.02
,,21:00_21:15,35.25
,,21:15_21:30,52.46
,,23:15_23:30,54.54
Category,5-min Departure Time Interval,80th Percentile Travel Time (min),
,,20:45_21:00, 0.01
,,21:00_21:15,19.94
,,21:15_21:30,43.92
Category,5-min Departure Time Interval,Planning Time Index: 95th percentile/FFTT,
,,21:00_21:15,10.92
,,21:15_21:30,13.98
,,23:15_23:30,17.90
Category,5-min Departure Time Interval,Buffer Index: (95th percentile - mean)/mean,
,,20:45_21:00, 2.25
,,21:00_21:15, 4.62
,,21:15_21:30, 1.49
,,23:15_23:30,10528.66
Category,5-min Departure Time Interval,Skew Index: (90th %ile-median)/(median-10th %ile),
,,20:45_21:00, 1.08
