Summary
path index,


Part I,time-dependent travel time
Time,,, 7:00, 7:15, 7:30, 7:45,
Path 1, ,travel time,0.31,0.00,0.00,0.00,

Travel Time Tndex,, 7:00, 7:15, 7:30, 7:45,
Path 1, ,0.31,0.00,0.00,0.00,

Part II,link sequence

path_id,path_node_sequence
1,14089;14047;14050;14092;14059;14062;14065;14094;14072;18198;18199;18200;12797;12799;12801;12803;12825;12809;12811;,

path_id,link_sequence_no,from_node_id->to_node_id,from_node_id,to_node_id,name,length,free speed,free-flow travel_time,# of lanes,Lane Saturation Flow Rate,Lane Capacity,Link Type
1,1,"[14089,14047]",14089,14047,,0.007,   56,0.008,1, 1800,2000.0,
1,2,"[14047,14050]",14047,14050,,0.007,   56,0.008,1, 1800,2000.0,
1,3,"[14050,14092]",14050,14092,,0.008,   56,0.008,1, 1800,2000.0,
1,4,"[14092,14059]",14092,14059,,0.007,   56,0.008,1, 1800,2000.0,
1,5,"[14059,14062]",14059,14062,,0.007,   56,0.008,1, 1800,2000.0,
1,6,"[14062,14065]",14062,14065,,0.007,   56,0.008,1, 1800,2000.0,
1,7,"[14065,14094]",14065,14094,,0.008,   56,0.009,1, 1800,2000.0,
1,8,"[14094,14072]",14094,14072,,0.004,   56,0.005,1, 1800,2000.0,
1,9,"[14072,18198]",14072,18198,,0.007,   56,0.008,1, 1800,2000.0,
1,10,"[18198,18199]",18198,18199,,0.007,   56,0.008,1, 1800,2000.0,
1,11,"[18199,18200]",18199,18200,,0.007,   56,0.008,1, 1800,2000.0,
1,12,"[18200,12797]",18200,12797,,0.009,   56,0.009,1, 1800,2000.0,
1,13,"[12797,12799]",12797,12799,,0.007,   56,0.008,1, 1800,2000.0,
1,14,"[12799,12801]",12799,12801,,0.007,   56,0.008,1, 1800,2000.0,
1,15,"[12801,12803]",12801,12803,,0.007,   56,0.008,1, 1800,2000.0,
1,16,"[12803,12825]",12803,12825,,0.009,   56,0.010,1, 1800,2000.0,
1,17,"[12825,12809]",12825,12809,,0.007,   56,0.008,1, 1800,2000.0,
1,18,"[12809,12811]",12809,12811,,0.007,   56,0.008,1, 1800,2000.0,
