zone_id,name,geometry
1,A2 - 6856,"POLYGON ((-111.945007 33.427002, -111.944008 33.427002, -111.944008 33.426003, -111.945007 33.426003, -111.945007 33.427002))"
2,A3 - 6874,"POLYGON ((-111.945007 33.426003, -111.944008 33.426003, -111.944008 33.425003, -111.945007 33.425003, -111.945007 33.426003))"
3,A4 - 9566,"POLYGON ((-111.945007 33.425003, -111.944008 33.425003, -111.944008 33.424000, -111.945007 33.424000, -111.945007 33.425003))"
4,A5 - 9548,"POLYGON ((-111.945007 33.424000, -111.944008 33.424000, -111.944008 33.423000, -111.945007 33.423000, -111.945007 33.424000))"
5,A6 - 9531,"POLYGON ((-111.945007 33.423000, -111.944008 33.423000, -111.944008 33.422001, -111.945007 33.422001, -111.945007 33.423000))"
6,A7 - 9528,"POLYGON ((-111.945007 33.422001, -111.944008 33.422001, -111.944008 33.421001, -111.945007 33.421001, -111.945007 33.422001))"
7,A8 - 9128,"POLYGON ((-111.945007 33.421001, -111.944008 33.421001, -111.944008 33.420002, -111.945007 33.420002, -111.945007 33.421001))"
8,A9 - 9738,"POLYGON ((-111.945007 33.420002, -111.944008 33.420002, -111.944008 33.419003, -111.945007 33.419003, -111.945007 33.420002))"
9,A10 - 1290,"POLYGON ((-111.945007 33.419003, -111.944008 33.419003, -111.944008 33.418003, -111.945007 33.418003, -111.945007 33.419003))"
10,A11 - 9839,"POLYGON ((-111.945007 33.418003, -111.944008 33.418003, -111.944008 33.417000, -111.945007 33.417000, -111.945007 33.418003))"
11,A12 - 9822,"POLYGON ((-111.945007 33.417000, -111.944008 33.417000, -111.944008 33.416000, -111.945007 33.416000, -111.945007 33.417000))"
12,A13 - 9803,"POLYGON ((-111.945007 33.416000, -111.944008 33.416000, -111.944008 33.415001, -111.945007 33.415001, -111.945007 33.416000))"
13,A14 - 4617,"POLYGON ((-111.945007 33.415001, -111.944008 33.415001, -111.944008 33.414001, -111.945007 33.414001, -111.945007 33.415001))"
14,A15 - 10026,"POLYGON ((-111.945007 33.414001, -111.944008 33.414001, -111.944008 33.413002, -111.945007 33.413002, -111.945007 33.414001))"
15,A16 - 10008,"POLYGON ((-111.945007 33.413002, -111.944008 33.413002, -111.944008 33.412003, -111.945007 33.412003, -111.945007 33.413002))"
16,A17 - 1356,"POLYGON ((-111.945007 33.412003, -111.944008 33.412003, -111.944008 33.411003, -111.945007 33.411003, -111.945007 33.412003))"
17,A18 - 1360,"POLYGON ((-111.945007 33.411003, -111.944008 33.411003, -111.944008 33.410000, -111.945007 33.410000, -111.945007 33.411003))"
18,A19 - 10165,"POLYGON ((-111.945007 33.410000, -111.944008 33.410000, -111.944008 33.409000, -111.945007 33.409000, -111.945007 33.410000))"
1000,B1 - 15311,"POLYGON ((-111.944008 33.428001, -111.943008 33.428001, -111.943008 33.427002, -111.944008 33.427002, -111.944008 33.428001))"
1001,B2 - 15323,"POLYGON ((-111.944008 33.427002, -111.943008 33.427002, -111.943008 33.426003, -111.944008 33.426003, -111.944008 33.427002))"
1002,B3 - 6811,"POLYGON ((-111.944008 33.426003, -111.943008 33.426003, -111.943008 33.425003, -111.944008 33.425003, -111.944008 33.426003))"
1003,B4 - 8009,"POLYGON ((-111.944008 33.425003, -111.943008 33.425003, -111.943008 33.424000, -111.944008 33.424000, -111.944008 33.425003))"
1004,B5 - 15527,"POLYGON ((-111.944008 33.424000, -111.943008 33.424000, -111.943008 33.423000, -111.944008 33.423000, -111.944008 33.424000))"
1006,B7 - 16603,"POLYGON ((-111.944008 33.422001, -111.943008 33.422001, -111.943008 33.421001, -111.944008 33.421001, -111.944008 33.422001))"
1007,B8 - 9096,"POLYGON ((-111.944008 33.421001, -111.943008 33.421001, -111.943008 33.420002, -111.944008 33.420002, -111.944008 33.421001))"
1008,B9 - 1262,"POLYGON ((-111.944008 33.420002, -111.943008 33.420002, -111.943008 33.419003, -111.944008 33.419003, -111.944008 33.420002))"
1009,B10 - 1289,"POLYGON ((-111.944008 33.419003, -111.943008 33.419003, -111.943008 33.418003, -111.944008 33.418003, -111.944008 33.419003))"
1013,B14 - 4598,"POLYGON ((-111.944008 33.415001, -111.943008 33.415001, -111.943008 33.414001, -111.944008 33.414001, -111.944008 33.415001))"
1016,B17 - 1355,"POLYGON ((-111.944008 33.412003, -111.943008 33.412003, -111.943008 33.411003, -111.944008 33.411003, -111.944008 33.412003))"
1017,B18 - 1363,"POLYGON ((-111.944008 33.411003, -111.943008 33.411003, -111.943008 33.410000, -111.944008 33.410000, -111.944008 33.411003))"
2000,C1 - 5596,"POLYGON ((-111.943008 33.428001, -111.942009 33.428001, -111.942009 33.427002, -111.943008 33.427002, -111.943008 33.428001))"
2002,C3 - 6795,"POLYGON ((-111.943008 33.426003, -111.942009 33.426003, -111.942009 33.425003, -111.943008 33.425003, -111.943008 33.426003))"
2003,C4 - 7988,"POLYGON ((-111.943008 33.425003, -111.942009 33.425003, -111.942009 33.424000, -111.943008 33.424000, -111.943008 33.425003))"
2004,C5 - 15533,"POLYGON ((-111.943008 33.424000, -111.942009 33.424000, -111.942009 33.423000, -111.943008 33.423000, -111.943008 33.424000))"
2005,C6 - 15554,"POLYGON ((-111.943008 33.423000, -111.942009 33.423000, -111.942009 33.422001, -111.943008 33.422001, -111.943008 33.423000))"
2006,C7 - 10628,"POLYGON ((-111.943008 33.422001, -111.942009 33.422001, -111.942009 33.421001, -111.943008 33.421001, -111.943008 33.422001))"
2007,C8 - 621,"POLYGON ((-111.943008 33.421001, -111.942009 33.421001, -111.942009 33.420002, -111.943008 33.420002, -111.943008 33.421001))"
2008,C9 - 568,"POLYGON ((-111.943008 33.420002, -111.942009 33.420002, -111.942009 33.419003, -111.943008 33.419003, -111.943008 33.420002))"
2009,C10 - 545,"POLYGON ((-111.943008 33.419003, -111.942009 33.419003, -111.942009 33.418003, -111.943008 33.418003, -111.943008 33.419003))"
2010,C11 - 503,"POLYGON ((-111.943008 33.418003, -111.942009 33.418003, -111.942009 33.417000, -111.943008 33.417000, -111.943008 33.418003))"
2011,C12 - 448,"POLYGON ((-111.943008 33.417000, -111.942009 33.417000, -111.942009 33.416000, -111.943008 33.416000, -111.943008 33.417000))"
2012,C13 - 427,"POLYGON ((-111.943008 33.416000, -111.942009 33.416000, -111.942009 33.415001, -111.943008 33.415001, -111.943008 33.416000))"
2013,C14 - 382,"POLYGON ((-111.943008 33.415001, -111.942009 33.415001, -111.942009 33.414001, -111.943008 33.414001, -111.943008 33.415001))"
2014,C15 - 376,"POLYGON ((-111.943008 33.414001, -111.942009 33.414001, -111.942009 33.413002, -111.943008 33.413002, -111.943008 33.414001))"
3000,D1 - 5580,"POLYGON ((-111.942009 33.428001, -111.941002 33.428001, -111.941002 33.427002, -111.942009 33.427002, -111.942009 33.428001))"
3001,D2 - 5542,"POLYGON ((-111.942009 33.427002, -111.941002 33.427002, -111.941002 33.426003, -111.942009 33.426003, -111.942009 33.427002))"
